date,time,open,high,low,close,volume
20170214,905,6455,6455,6434,6434,1320
20170214,910,6434,6434,6414,6414,2318
20170214,915,6438,6442,6422,6422,304
20170214,920,6447,6447,6447,6447,26
20170214,925,6447,6447,6447,6447,61
20170214,930,6434,6434,6434,6434,2445
20170214,935,6430,6430,6418,6418,402
20170214,940,6414,6418,6406,6418,2107
20170214,945,6442,6447,6434,6447,4928
20170214,950,6447,6447,6438,6438,490
20170214,1000,6438,6438,6438,6438,146
20170214,1010,6434,6438,6426,6434,1490
20170214,1025,6442,6447,6442,6447,1231
20170214,1030,6430,6455,6430,6447,4645
20170214,1035,6455,6455,6451,6451,669
20170214,1040,6451,6451,6447,6447,17
20170214,1050,6430,6434,6426,6430,1683
20170214,1055,6430,6455,6430,6451,8101
20170214,1100,6434,6459,6430,6459,8060
20170214,1105,6455,6459,6455,6455,43
20170214,1115,6438,6438,6438,6438,221
20170214,1120,6438,6455,6430,6455,952
20170214,1125,6455,6455,6455,6455,1018
20170214,1140,6455,6455,6455,6455,105
20170214,1145,6455,6459,6455,6459,651
20170214,1150,6459,6467,6442,6447,2793
20170214,1155,6463,6471,6463,6471,302
20170214,1205,6447,6447,6447,6447,2
20170214,1225,6467,6471,6467,6471,3070
20170214,1230,6467,6475,6467,6475,4621
20170214,1240,6475,6479,6475,6479,29
20170214,1245,6459,6459,6459,6459,258
20170214,1250,6455,6455,6447,6447,2395
20170214,1255,6447,6447,6447,6447,1024
20170214,1305,6447,6447,6447,6447,635
20170214,1310,6455,6455,6455,6455,37
20170214,1315,6447,6447,6447,6447,1200
20170214,1325,6442,6442,6442,6442,6
20170214,1335,6455,6455,6455,6455,22
20170214,1345,6455,6455,6455,6455,73
20170214,1350,6455,6455,6455,6455,155
20170214,1410,6455,6455,6455,6455,32
20170214,1415,6455,6455,6455,6455,77
20170214,1425,6447,6447,6447,6447,77
20170214,1440,6455,6455,6438,6438,1534
20170214,1445,6438,6442,6438,6438,3260
20170214,1450,6455,6455,6455,6455,639
20170214,1455,6459,6459,6455,6455,268
20170214,1505,6455,6459,6455,6459,4
20170214,1510,6459,6459,6459,6459,1
20170214,1530,6463,6463,6463,6463,2946
20170215,905,6455,6455,6442,6455,824
20170215,910,6442,6442,6438,6442,137
20170215,915,6447,6447,6438,6438,1863
20170215,920,6447,6447,6426,6426,577
20170215,925,6426,6426,6422,6422,461
20170215,930,6422,6430,6422,6422,995
20170215,935,6422,6434,6422,6422,150
20170215,940,6418,6418,6418,6418,1730
20170215,945,6418,6418,6418,6418,6
20170215,950,6418,6418,6414,6414,4125
20170215,955,6414,6414,6397,6397,4710
20170215,1000,6397,6422,6397,6422,4844
20170215,1005,6418,6422,6414,6414,1366
20170215,1010,6418,6418,6414,6414,5
20170215,1015,6401,6410,6397,6397,1345
20170215,1020,6397,6397,6397,6397,59
20170215,1025,6410,6410,6410,6410,37
20170215,1030,6410,6418,6410,6414,2508
20170215,1035,6418,6418,6414,6418,1534
20170215,1040,6414,6418,6410,6410,9
20170215,1045,6414,6418,6414,6414,1031
20170215,1050,6414,6414,6414,6414,512
20170215,1055,6418,6418,6406,6406,379
20170215,1100,6406,6406,6406,6406,844
20170215,1105,6406,6418,6401,6418,1481
20170215,1110,6418,6422,6418,6422,1607
20170215,1115,6418,6418,6414,6414,450
20170215,1120,6426,6426,6418,6418,2626
20170215,1125,6422,6426,6401,6401,1355
20170215,1130,6401,6401,6401,6401,1
20170215,1135,6418,6426,6418,6426,5412
20170215,1140,6426,6430,6406,6430,4503
20170215,1145,6426,6430,6418,6418,7386
20170215,1150,6418,6418,6418,6418,1
20170215,1155,6422,6430,6422,6430,2777
20170215,1200,6426,6426,6410,6422,455
20170215,1210,6410,6418,6410,6418,28
20170215,1215,6406,6406,6401,6401,3953
20170215,1240,6410,6410,6410,6410,38
20170215,1245,6401,6401,6401,6401,6
20170215,1250,6410,6414,6410,6410,2164
